-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,14
-1,-1,-1,7,7,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,13,7
-1,-1,7,-1,-1,-1,-1,-1,-1,-1,7,7,-1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,7,-1,-1,16,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1
-1,-1,-1,7,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,9,9,7,-1,-1,20,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,16,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,16,-1,-1,-1,-1,-1,-1,7,-1,-1,-1,19
8,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13
